Vol(NaOH),pH
0,1.9
0.5,1.92
1,1.96
1.5,2.01
2,2.05
2.5,2.11
3,2.17
3.5,2.23
4,2.29
4.5,2.35
5,2.43
5.5,2.5
6,2.58
6.5,2.66
7,2.77
7.5,2.88
8,3.01
8.2,3.11
8.4,3.17
8.6,3.23
8.8,3.33
9,3.47
9.1,3.52
9.2,3.6
9.3,3.71
9.4,3.91
9.5,4.14
9.6,4.56
9.65,5.07
9.7,5.75
9.75,6.38
9.8,6.96
9.85,7.41
9.9,7.65
9.95,7.82
10,7.95
10.1,8.13
10.2,8.26
10.3,8.36
10.4,8.45
10.5,8.51
10.6,8.58
10.7,8.64
10.8,8.69
10.9,8.73
11,8.78
11.1,8.82
11.2,8.85
11.3,8.89
11.4,8.92
11.5,8.96
11.6,8.99
11.7,9.01
11.8,9.04
11.9,9.07
12,9.09
12.5,9.18
13,9.29
13.5,9.39
14,9.48
14.5,9.56
15,9.64
15.5,9.72
16,9.81
16.5,9.87
17,9.96
17.5,10.04
18,10.14
18.1,10.15
18.2,10.17
18.3,10.19
18.4,10.21
18.5,10.23
18.6,10.25
18.7,10.26
18.8,10.28
18.9,10.3
19,10.32
19.1,10.34
19.2,10.36
19.3,10.38
19.4,10.4
19.5,10.41
19.6,10.43
19.7,10.46
19.8,10.48
19.9,10.5
20,10.53
20.1,10.55
20.2,10.58
20.3,10.61
20.4,10.64
20.5,10.66
20.6,10.67
20.7,10.7
20.8,10.72
20.9,10.74
21,10.78
21.5,10.94
22,11.08
22.5,11.24
23,11.35
23.5,11.44
24,11.52
24.5,11.58
25,11.64