Vol(NaOH),𝚫pH/𝚫V
0.5,0.04
1,0.08
1.5,0.1
2,0.08
2.5,0.12
3,0.12
3.5,0.12
4,0.12
4.5,0.12
5,0.16
5.5,0.14
6,0.16
6.5,0.16
7,0.22
7.5,0.22
8,0.26
8.2,0.5
8.4,0.3
8.6,0.3
8.8,0.5
9,0.7
9.1,0.5
9.2,0.8
9.3,1.1
9.4,2
9.5,2.3
9.6,4.2
9.65,10.2
9.7,13.6
9.75,12.6
9.8,11.6
9.85,9
9.9,4.8
9.95,3.4
10,2.6
10.1,1.8
10.2,1.3
10.3,1
10.4,0.9
10.5,0.6
10.6,0.7
10.7,0.6
10.8,0.5
10.9,0.4
11,0.5
11.1,0.4
11.2,0.3
11.3,0.4
11.4,0.3
11.5,0.4
11.6,0.3
11.7,0.2
11.8,0.3
11.9,0.3
12,0.2
12.5,0.18
13,0.22
13.5,0.2
14,0.18
14.5,0.16
15,0.16
15.5,0.16
16,0.18
16.5,0.12
17,0.18
17.5,0.16
18,0.2
18.1,0.1
18.2,0.2
18.3,0.2
18.4,0.2
18.5,0.2
18.6,0.2
18.7,0.1
18.8,0.2
18.9,0.2
19,0.2
19.1,0.2
19.2,0.2
19.3,0.2
19.4,0.2
19.5,0.1
19.6,0.2
19.7,0.3
19.8,0.2
19.9,0.2
20,0.3
20.1,0.2
20.2,0.3
20.3,0.3
20.4,0.3
20.5,0.2
20.6,0.1
20.7,0.3
20.8,0.2
20.9,0.2
21,0.4
21.5,0.32
22,0.28
22.5,0.32
23,0.22
23.5,0.18
24,0.16
24.5,0.12
25,0.12
0.5,